"Date","Price","Open","High","Low","Change %"
"Dec 31, 2018","6.0664","6.0336","6.0924","6.0062","0.55%"
"Dec 28, 2018","6.0334","6.0369","6.0752","6.0027","-0.13%"
"Dec 27, 2018","6.0413","5.9893","6.0590","5.9839","0.85%"
"Dec 26, 2018","5.9905","6.0183","6.0621","5.9828","-0.71%"
"Dec 25, 2018","6.0336","6.0450","6.1151","6.0225","0.07%"
"Dec 24, 2018","6.0293","6.0488","6.0651","6.0079","-0.31%"
"Dec 21, 2018","6.0480","6.0162","6.0723","5.9939","0.36%"
"Dec 20, 2018","6.0262","6.0214","6.0712","5.9967","0.20%"
"Dec 19, 2018","6.0139","6.0756","6.1023","5.9442","-0.96%"
"Dec 18, 2018","6.0721","6.0946","6.1186","6.0620","-0.35%"
"Dec 17, 2018","6.0933","6.0658","6.1155","6.0537","0.45%"
"Dec 14, 2018","6.0659","6.0617","6.1257","6.0484","-0.02%"
"Dec 13, 2018","6.0672","6.0789","6.1378","6.0279","-0.21%"
"Dec 12, 2018","6.0800","6.0768","6.1229","6.0556","0.13%"
"Dec 11, 2018","6.0719","6.0428","6.1525","6.0283","0.38%"
